l_measure,l_precision,l_recall,track_id
0.41029843087813317,0.29889186496034464,0.6541038887941404,SALAMI_576
0.37442081106543457,0.28390141884114395,0.5496818983893345,SALAMI_767
0.5568415121445969,0.4632520022775855,0.6978201758315148,SALAMI_551
0.6218229307995465,0.5378695379901486,0.7368312761108099,SALAMI_1147
0.48997789684423965,0.41490640306695353,0.5982168435458476,SALAMI_858
0.4428210283911419,0.41230353645921336,0.47821725974880536,SALAMI_200
0.5801498457416725,0.5010263014752312,0.6889510119260255,SALAMI_192
0.43182175394763395,0.35933900415100334,0.5409343414300809,SALAMI_332
0.6388929488972043,0.5110023836431025,0.8521684900040025,SALAMI_1339
0.3804666778830214,0.2484235796725518,0.8121369913443633,SALAMI_624
0.5832125132850738,0.4989039800789623,0.7018095502602386,SALAMI_890
0.3993776802455039,0.3431047034185124,0.47773083598855204,SALAMI_487
0.6416158828389875,0.5560517945164708,0.7583017756808572,SALAMI_1370
0.7423664396920895,0.6180496951325578,0.9292864719598574,SALAMI_1458
0.3263271509324224,0.28173695895389644,0.3876857369821886,SALAMI_264
0.478529623808847,0.35442626804087896,0.7363725433994653,SALAMI_1128
0.689380416233008,0.5924078426373197,0.8243142760647838,SALAMI_462
0.4319114633540107,0.3638783976261535,0.5312345143091629,SALAMI_26
0.5815913329756851,0.48712494074111884,0.7215114625388098,SALAMI_566
0.531861955605963,0.4585796067334166,0.6330204574835583,SALAMI_1004
0.5192242817489534,0.45599552510371305,0.6028105430914158,SALAMI_808
0.4812795918312294,0.3711837627851389,0.6842260662500068,SALAMI_980
0.5333332520907992,0.46858639481255737,0.6188416006930688,SALAMI_910
0.5497983897282134,0.4318135870811927,0.7564966204997744,SALAMI_1084
0.7246444002894383,0.6292270322120146,0.8541730808534301,SALAMI_482
0.37553387041041725,0.3551321877082065,0.39842250097580056,SALAMI_880
0.3214987299787511,0.3140176337050318,0.3293449820797375,SALAMI_491
0.3767895291251796,0.33515503982069866,0.4302353256556545,SALAMI_164
0.4886506033959951,0.43236723070095134,0.5617803148768924,SALAMI_1454
0.72108719722581,0.6154279903530926,0.8705461358936051,SALAMI_1211
0.5934010047830202,0.4782277776643077,0.7816479461686611,SALAMI_618
0.44867106234036513,0.39058735456420723,0.5270475827916071,SALAMI_1484
0.48436527985478206,0.4270435303549678,0.5594613836710748,SALAMI_1456
0.47559530539621875,0.38830240074201183,0.6135181822074879,SALAMI_291
0.5279110490585958,0.4599529336510066,0.6194322588481287,SALAMI_739
0.511817138177935,0.4040442709890613,0.697997781163787,SALAMI_274
0.44971639937045266,0.421342886245926,0.48218721015781274,SALAMI_802
0.6357857898040523,0.5138930288035116,0.833483831589773,SALAMI_503
0.5829445378271744,0.47836096837786846,0.7460534382895964,SALAMI_471
0.4857240311909306,0.44966109624342293,0.5280758494011358,SALAMI_154
0.5035885067758559,0.48397937434968724,0.5248537232478682,SALAMI_1472
0.3179033266230703,0.2562654990658081,0.4185820753045619,SALAMI_416
0.6040496363881572,0.5845487468154232,0.6248965524584826,SALAMI_386
0.5204164419740074,0.4659246034682504,0.5893425245002093,SALAMI_367
0.2936575837380503,0.23874223278114817,0.3813831063172181,SALAMI_1286
0.42159565217644157,0.35734428362235265,0.5140171889525217,SALAMI_538
0.5818448448236251,0.5196826053476074,0.6608987652166769,SALAMI_1043
0.42446408803064434,0.3599806966214269,0.5170905974601647,SALAMI_282
0.5870626834596305,0.4641625502773056,0.7984838021334772,SALAMI_906
0.49243257116500605,0.4099577294622194,0.6164491224846718,SALAMI_684
0.46881770216140106,0.4244641530969514,0.523522119071907,SALAMI_648
0.4107820482375783,0.3227015163100333,0.5649963075046319,SALAMI_1360
0.4845912850072031,0.5008646245402121,0.4693421270193691,SALAMI_148
0.43329589110144207,0.3890929406579962,0.4888294158343317,SALAMI_216
0.3488285608347179,0.30388658348691144,0.40937064167991666,SALAMI_643
0.4620303656176385,0.43018180126522937,0.49897180677425745,SALAMI_1448
0.48454455110244504,0.4823122298691618,0.486797632455029,SALAMI_434
0.3740529395715531,0.34776666030944187,0.40463788536625106,SALAMI_1404
0.49218087818159467,0.4224023621886737,0.5895754578452146,SALAMI_844
0.5036599739059718,0.47463726091252756,0.5364631643251792,SALAMI_1168
0.35131960645865434,0.24949038746652993,0.5935945492341896,SALAMI_678
0.4393036752366662,0.35686209756276,0.5712795496323735,SALAMI_1244
0.26110068912937,0.2773687534267447,0.24663519113164897,SALAMI_444
0.6143493118580852,0.5644548843977434,0.6739197797448998,SALAMI_1235
0.47372922495060094,0.43397082530892195,0.5215073126545824,SALAMI_39
0.48485392851554243,0.4116789591769046,0.5896656070124323,SALAMI_1428
0.4762357270145111,0.40772631275903304,0.5724179362417852,SALAMI_1287
