,l_measure,l_precision,l_recall,t_measure10,t_measure15,t_measure5,t_precision10,t_precision15,t_precision5,t_recall10,t_recall15,t_recall5,track_id
196,0.35910536365989226,0.306045286056522,0.4344226463582949,0.36466801361597045,0.39669979183363835,0.28294699393779266,0.4755944986712645,0.5451793399255926,0.3876212830677904,0.2956997378255608,0.3117851358880189,0.22278542205997579,SALAMI_1322
197,0.40151079174827536,0.34653188626118386,0.4772247282443664,0.35403877618645674,0.38167929284957586,0.29297995195613213,0.39223204098897263,0.40288000638667326,0.3584904507156063,0.3226235769699905,0.36259831847233864,0.24771292412769325,SALAMI_1323
198,0.45450092418516436,0.36686562638182085,0.5971441823356394,0.370522631663807,0.35016805944342433,0.40042450797613677,0.6684033475072855,0.6838722849323456,0.6343812756765117,0.2562999605649056,0.2353338824839438,0.29253792589136574,SALAMI_1326
199,0.4710042541962092,0.33354482225383625,0.8011868196663454,0.523596125036863,0.5137820428570079,0.4760252646752004,0.6156971118924104,0.6087079481873721,0.5788886389508259,0.45546409711118785,0.4444686843298998,0.4042021324878748,SALAMI_1327
200,0.42091375103242334,0.34395749940945625,0.5422313284016523,0.4776081938588511,0.46945146926218145,0.44952577692846934,0.5934742979718406,0.5351944673821105,0.6510576477605027,0.39959402668013094,0.418093135270944,0.34326858183513664,SALAMI_1328
201,0.5724039674189815,0.4622493761175288,0.7514833739012583,0.40676555060981545,0.436386402700041,0.31584818264114045,0.5825578244282738,0.6617620453606405,0.5282030585757219,0.31247369092912763,0.325523266926562,0.22527876394566196,SALAMI_1330
202,0.47287312879820087,0.3290294448517883,0.8401789764673183,0.4864260375132977,0.5291822640108967,0.4606922298111013,0.6754177126635942,0.7023300991757737,0.6295423849044036,0.3800754205922423,0.4245231288950104,0.36326151677599805,SALAMI_1331
203,0.5250975988113729,0.4514665209838956,0.6274265435025024,0.4245908805078836,0.45095056177638626,0.3557185706102795,0.7193779978665718,0.6358085287784556,0.7357453121043674,0.3011751567340427,0.34937238782018065,0.2345624896330007,SALAMI_1332
204,0.490741550038988,0.40785864176769693,0.6159019318286715,0.4294330870082141,0.45358061184059,0.37062607919818535,0.5426075998066737,0.5305865057121192,0.5484943630606894,0.3553217633421518,0.39609407895848947,0.2798689003414366,SALAMI_1336
205,0.6374202936207894,0.5066248367063839,0.8592541443878369,0.5895169966371716,0.6163829257871368,0.4905540658520451,0.6706898246682015,0.7211879422626505,0.609274537077284,0.5258713804895893,0.5381739991746957,0.4105551521298094,SALAMI_1339
206,0.5129398559068606,0.4242686038275965,0.6484683963666403,0.5032740296964894,0.46863025909679207,0.5735389586466624,0.5512237308813622,0.4938579790410123,0.6189436230511752,0.46299881379641933,0.44585468859467053,0.5343406278434052,SALAMI_1340
207,0.0017362471540720676,0.0008691381284430658,0.7436974566026697,0.37036817523318555,0.3965358093370349,0.32278148172614884,0.3795403607950893,0.3793076892853578,0.4648108415721687,0.3616288493192168,0.4154033928974825,0.2472353212829614,SALAMI_1342
208,0.1005692008806265,0.06347374389116957,0.24199841801030736,0.3598355460711582,0.3729708638620548,0.3208774750219492,0.5054213912613855,0.5567098372968706,0.511014438903789,0.2793649166050442,0.2804198560761255,0.23386250416636378,SALAMI_1343
209,0.45484094882909243,0.3363021329904165,0.7024322703351418,0.39189838818352435,0.4714189249810538,0.26278489181277853,0.4886309042349493,0.5620093467007519,0.5181633045411428,0.3271363688777328,0.4059790623159997,0.17602862894821106,SALAMI_1346
210,0.4469597777425157,0.38805546537956465,0.5269469147175195,0.3907027383395491,0.3461327262906223,0.42057988177397126,0.40868075324699776,0.30893641171105407,0.4601377982651344,0.37423979376059985,0.39351204906741477,0.3872850918652924,SALAMI_1347
211,0.3638580736314273,0.2742110734285002,0.5405922788892771,0.4920673265545589,0.5302739152733588,0.4119281522071942,0.5827472098926441,0.6567115223180283,0.4739860012243543,0.4258083235905025,0.44466242390908733,0.3642391897014696,SALAMI_1348
212,0.5075972985671389,0.39735594718538486,0.7024958267842174,0.45053730460812,0.4945796037610895,0.31843852406180073,0.6023372026258252,0.6324203283413108,0.6043482460302929,0.3598488650202471,0.40607297255280966,0.2161707846522606,SALAMI_135
213,0.595295128912504,0.5350177602819889,0.6708792261589676,0.46667365236616515,0.4818460133058482,0.3892885072696121,0.5541769242990785,0.6037930251847822,0.45737354478483067,0.4030352983282623,0.40088082121563096,0.3388473811475914,SALAMI_1350
214,0.5141964335198591,0.39283460547362087,0.7440678030847824,0.4377382115793218,0.4521847506637692,0.38875221930261306,0.5733671637006115,0.6050360905998522,0.5183113895231054,0.35400012950093634,0.3609877704093994,0.31101074116822386,SALAMI_1354
215,0.6697044853222266,0.5368225253574098,0.8900132441624157,0.40784471443488546,0.4372601628427971,0.33878412458924434,0.5143319212337172,0.5495185646807148,0.46851268107461574,0.33788835760439634,0.36308694504958156,0.26531881881664465,SALAMI_1355
216,0.40858907627082064,0.37767680100656564,0.44501269246574043,0.46374031573394403,0.3660135567176523,0.46776433073983503,0.6025126897206211,0.5207777502988672,0.6448971550151359,0.37692574509376,0.28216118684133396,0.366969446019556,SALAMI_1356
217,0.45850493691518446,0.40740671345001606,0.5242591594075292,0.545054044920466,0.518124213993326,0.5098460406989457,0.6137928461699381,0.6231481962325226,0.6431934772388638,0.4901608223048325,0.44339536571139987,0.4222953896631923,SALAMI_1358
218,0.4779411288151175,0.382396247082858,0.6371344747202697,0.3312025312893724,0.3231222288667951,0.3500350424812589,0.5373612369291862,0.5732582247526179,0.5601987747874847,0.23936869974569405,0.22496207849827166,0.25454146603065814,SALAMI_1359
219,0.3950931910208061,0.3037338226285993,0.5650546137234854,0.44466558112187027,0.4092956081476934,0.4423269460491322,0.6908573891329481,0.6965842790443331,0.6507794662255614,0.32783817898509254,0.28978221846090785,0.3350169667826627,SALAMI_1360
220,0.5980449779999822,0.4841523800601382,0.7820047260429538,0.31386089452620547,0.3838533647936847,0.23239644456822556,0.5520697398860676,0.5713566423782198,0.6041033104034768,0.21925572277473426,0.2890087668417984,0.14387169237238712,SALAMI_1363
221,0.4968350101530573,0.40425622589634375,0.6444118799264054,0.4561526746616282,0.45840510973989007,0.43355982693668266,0.624006274030788,0.6489321222747791,0.5762701248737413,0.35946022833892927,0.3543636472459812,0.34750261298114277,SALAMI_1364
222,0.4091836352638916,0.3684277050405176,0.4600780392651763,0.5077567473419234,0.5476294937723825,0.457911066992257,0.6671023151571978,0.6522036019615588,0.5941736946134287,0.40985730457702424,0.4719561947822068,0.37248792563711086,SALAMI_1368
223,0.6075151770065089,0.5049293613165748,0.762413747282221,0.35228716012368133,0.42471859225517405,0.25688552564951167,0.3534011673142137,0.4301941681719684,0.3246338168510049,0.3511801541117151,0.4193806523896656,0.21253193500408066,SALAMI_1370
224,0.5600285476502833,0.46501744007046836,0.7038340123578711,0.3789918936590425,0.33198284935263145,0.29210939923404383,0.5163462479419855,0.546278637111474,0.49018558797767153,0.299358822104833,0.23844496022813508,0.20804266989727926,SALAMI_1371
225,0.37232135941615047,0.2753100606136243,0.574899202817835,0.4908660321609961,0.5079773849896496,0.48306485636747715,0.6021189101172849,0.6198191529268064,0.5494474626167952,0.41431372145584827,0.4303279066735877,0.43099350458667074,SALAMI_1372
226,0.6213913018225589,0.49140721339380555,0.8448716945970159,0.39003011311705443,0.5374490366026597,0.24018750556697002,0.6538228068932013,0.716008940550268,0.6209189073571701,0.2779057057613452,0.43017182821030614,0.14889124693071412,SALAMI_1374
227,0.599362044645318,0.4696472639525968,0.8280725092385829,0.40778773507557425,0.36896441405325975,0.4479967833507075,0.6655836492316766,0.6836605792399049,0.6022053425724195,0.2939385487672285,0.2526616126337209,0.356664592955195,SALAMI_1375
228,0.6010686954875442,0.5457069955322328,0.6689314547966968,0.4211412244819654,0.44234783525648885,0.3873079136724893,0.6199904979048477,0.6607082348043336,0.5449664860841172,0.31887014602558633,0.3324687583890573,0.3004018006396583,SALAMI_1378
229,0.44391951506969635,0.36255498632982763,0.5723708944360163,0.42006733959524845,0.48802777245808493,0.32179083497913674,0.4988676105752741,0.4892673406236589,0.6377882913054739,0.36276552094325326,0.48679446935915766,0.21517875194580047,SALAMI_1379
230,0.5818793393711081,0.43983579321855476,0.859429227293001,0.4475707516021188,0.3916719867655147,0.3877495073340346,0.860907641320476,0.8804471476597282,0.7609747306999668,0.3023886473122088,0.2518557296441615,0.2601548129717327,SALAMI_1380
231,0.34733268696831604,0.2868956801294005,0.4400283990497709,0.38689898427178215,0.41707591588078446,0.41312605042531025,0.6585663260157179,0.6864292798921281,0.6204559883940528,0.27390821407779176,0.2995378943366862,0.30965316488797906,SALAMI_1382
232,0.29550445213833193,0.20782078213934155,0.511182308904685,0.4467870328597911,0.45468366660393034,0.3854562641133504,0.5318167016228865,0.5399018589652824,0.4881132435812231,0.38519932604076174,0.3926998603222589,0.31847628738632655,SALAMI_1383
233,0.5201736873169903,0.3873969604291278,0.7914284837428485,0.45959762618580174,0.49102248301399387,0.3673116496191985,0.560246679252172,0.5777860363886255,0.4913489749722174,0.38960463999284983,0.42691461797369507,0.29327627612178453,SALAMI_1384
234,0.5419069664820713,0.47012994204424663,0.639550206576628,0.5734325609584009,0.5906094583431559,0.5601855994888726,0.6159139598112013,0.6167479423917196,0.5981902950997733,0.536433185102095,0.5665964518914363,0.5267215145698723,SALAMI_1387
235,0.34768405707116096,0.2617421759754341,0.5176531797744859,0.3804809979456288,0.40942258135323456,0.38424373900686765,0.6616965815393105,0.6816715421458727,0.6264687050801445,0.2670057561997604,0.29257335549521524,0.2771019124511062,SALAMI_1388
236,0.4874842017252777,0.4499834280008699,0.5318037253551624,0.36690360808786326,0.4106730168547711,0.30699382073564185,0.4191287824160183,0.4360495228211979,0.4574386885084458,0.32625134534592204,0.388087714742865,0.23101603800010626,SALAMI_1390
237,0.45199478759513695,0.36174521263892084,0.6022452218601618,0.35049434959343007,0.43423833275000895,0.2680027579464672,0.4512344187927166,0.4545909743291188,0.4899125659887573,0.2865261304091539,0.41563002462595816,0.18445320578233296,SALAMI_1394
238,0.5649219053710276,0.4425538429724551,0.7808228077873077,0.38478000924302586,0.4074570038163425,0.3594408416474747,0.6687334179127192,0.7175215716103002,0.5881017905800623,0.270094267649997,0.28451063957657224,0.25881176056906857,SALAMI_1396
239,0.3331995029416312,0.2924043427394094,0.38722347362797715,0.37461580939264383,0.4264024258151514,0.3179883537566706,0.4413142054832013,0.4567834275968645,0.3936617602266502,0.3254314514470908,0.3998107206799025,0.26671739932145294,SALAMI_1399
240,0.6326234286957652,0.5352446486621818,0.7733151384652457,0.5275508873842764,0.5566244818555912,0.40121139871212547,0.5326631208526386,0.6295997048988043,0.42787127912447626,0.5225358503784336,0.4988088751505408,0.3776789132371211,SALAMI_14
241,0.597058058444815,0.5334802728489919,0.6778399871593384,0.49487333840992526,0.5549141293732273,0.3835437553973555,0.6076911196416422,0.6534932126198845,0.5532517976152489,0.4173857293568437,0.48217786923589473,0.2935104558320483,SALAMI_140
242,0.6601656123531167,0.5417664274485975,0.8447879981922004,0.3267653838341278,0.3247823198388266,0.2804737413670983,0.47499104378158064,0.48916911054919604,0.4840069167658212,0.24904761026197525,0.24309087900740306,0.19744482153104062,SALAMI_1400
243,0.5993977403001397,0.501528247494056,0.7447253274043351,0.3339865905765867,0.37200378006536505,0.2961140055543523,0.6287241192513267,0.6039745674243121,0.6543163494804184,0.22738943785441273,0.2687745327605082,0.1913566992946022,SALAMI_1403
244,0.3593174939759458,0.3297139670137794,0.3947613296487921,0.45889903765812545,0.5126287052161564,0.4216765412744101,0.6043140775770874,0.576160999973933,0.5991291208054871,0.36989246138602117,0.46171605962597606,0.3253214637024598,SALAMI_1404
245,0.5186913938613726,0.43575166152457767,0.6406264017600538,0.47455909538881813,0.493824724447434,0.4729789855866554,0.67091377795381,0.6341791234347885,0.6479502184388459,0.36711612383458975,0.4043379941789159,0.37241323159951417,SALAMI_1406
246,0.47765600056885577,0.3373921916304086,0.817525120820228,0.4486744365637694,0.4107923763642912,0.45828586558338025,0.7294832162039763,0.7496058581548241,0.7264289677556568,0.3239662121044111,0.2829170343697434,0.33472901395357446,SALAMI_1408
247,0.4483466760060249,0.31990069093655066,0.749140172783277,0.4157656543154408,0.39319647042129546,0.3868856267673689,0.3526934471186993,0.31100521379166246,0.38283135918167355,0.5063089359523072,0.5344348476911653,0.39102668463695983,SALAMI_1412
248,0.5426919041931924,0.4850319334672304,0.6159105568822554,0.3237519373457562,0.29344354223544,0.26374232815909665,0.48948360691213916,0.451855073090778,0.5952748688048892,0.24186137247669673,0.2172721764019698,0.16939784705244817,SALAMI_1414
249,0.6329512854417535,0.5278897942495243,0.7902227013326099,0.29396257153208344,0.39398081981699484,0.19867070055644798,0.45967796021720075,0.4669228993002721,0.5300851034440551,0.21606899961319723,0.34074939825167805,0.12224310992840452,SALAMI_1415
250,0.46947045810826543,0.34599238994944764,0.729989892355688,0.43392949414807847,0.37586181985239414,0.42111866690737176,0.6616375822501681,0.7296994949285235,0.5344147696053323,0.3228261754076512,0.25312115514046457,0.34745755394148514,SALAMI_1416
251,0.3962221672239605,0.3737419415219752,0.4215797947312206,0.47879483129134803,0.49637952021774473,0.4188582648712992,0.4590021006655973,0.47706620512794307,0.40533998406016447,0.5003714591303481,0.5173225536463072,0.433309336870739,SALAMI_1422
252,0.5820994591304014,0.5405127440483893,0.6306188847582846,0.34133840633702095,0.36360615875843183,0.37837072606763883,0.505849365269449,0.4459917716395547,0.5964321611124189,0.2575716520712069,0.30691199069929154,0.27707089523468964,SALAMI_1424
253,0.38442698041620565,0.3398784882164367,0.44241513796687165,0.3822295353954663,0.41402098701474377,0.2502463795546048,0.5083290057264104,0.5429767650864906,0.4782506294366978,0.30625731192633276,0.33456301305269737,0.1694579280665372,SALAMI_1427
254,0.4225883340324242,0.33043712526638247,0.5860139630559505,0.4555481668153036,0.49733859282180753,0.3690730479310029,0.5731215367485316,0.6519961840472218,0.4951763376576584,0.37800259260990743,0.40198518204373107,0.2941610060063554,SALAMI_1428
255,0.6249630726575731,0.5568367500249697,0.712083038868464,0.49368338004597806,0.5013075779627809,0.4657016847202628,0.5016001778454103,0.5270930572401413,0.4719525703129849,0.4860126022631223,0.4779272958404818,0.4596142173137154,SALAMI_1432
256,0.5812286565210779,0.490704048660666,0.7127084149604105,0.4747574937888619,0.44581493968097397,0.5077051130435158,0.7250831272996718,0.7382636967285002,0.6503496070747343,0.3529173225995525,0.3193218285273468,0.4163786594593691,SALAMI_1434
257,0.4929877483098433,0.43165649920119925,0.574633691684063,0.4901797034842699,0.49289797317857315,0.4160267235074342,0.6172591299528827,0.6330769169278155,0.549009116836806,0.4064923074090062,0.40354343896810296,0.33490514273069577,SALAMI_1435
258,0.48180764166393925,0.42586590165611454,0.5546689484346317,0.3913911270583107,0.4024289153139004,0.31609461524502885,0.5586860298235556,0.5798237829056152,0.5683459862204929,0.30119903301679035,0.30815122669608885,0.21892722937142345,SALAMI_1436
259,0.44980175678188933,0.3728337852894352,0.5668153730187426,0.40097811527028177,0.4194571492666336,0.3570838830598795,0.543944204545365,0.5841096121617415,0.4648155948362201,0.3175228613007289,0.3272186999561922,0.28989422462382064,SALAMI_1438
260,0.5415181907456187,0.4398666326881617,0.7042731119029678,0.5314006465296205,0.5754946480772378,0.4961665454730326,0.5779729790661469,0.6160926856127024,0.5029118308749078,0.49177410997489995,0.5399163271104179,0.4895998070734447,SALAMI_1439
261,0.5267528916318318,0.4340339367363881,0.6698464568097475,0.44328791574073184,0.4873721485905133,0.26867584792542787,0.501509641221356,0.5720898721102738,0.38905897189432875,0.3971783194692109,0.4245089003421176,0.2051867131034406,SALAMI_1442
262,0.34720273013564557,0.2718991061049494,0.48019471742195985,0.4118449073766044,0.4108116402427377,0.3716025093284134,0.5687920976524994,0.563396803931061,0.6517350773760061,0.3227800019520935,0.3232622825683704,0.25989354964693606,SALAMI_1443
263,0.6853999977087424,0.5603171426171677,0.8823784781510188,0.27065528578271697,0.22239580776315485,0.2702039798544892,0.42102005873981646,0.4489107926248621,0.3949542419052573,0.199430047836701,0.14781176802419196,0.20534401224324025,SALAMI_1444
264,0.6155769691974272,0.5101022100681829,0.7760402111276121,0.3002241475780958,0.3282765332136643,0.25402590468956027,0.4270083037301869,0.5025478620726324,0.4001825704093013,0.23149142193704775,0.2437499883950762,0.18606889779595778,SALAMI_1446
265,0.44397080344049916,0.40382526132046026,0.4929794438694302,0.4704150573711343,0.4789376249694541,0.44592518164516387,0.5268513963516911,0.5316249288762966,0.5675648755944123,0.42489977900816117,0.4357519259828092,0.36722256559098443,SALAMI_1448
266,0.6171711524458142,0.514034206111085,0.7720837163889087,0.36779071621387543,0.3880020646812698,0.2906529643337763,0.4647231456588385,0.447088865066737,0.44761525707911076,0.30431614348605174,0.34270988232301675,0.21519274307960495,SALAMI_1452
267,0.44370171656719265,0.3580503859337478,0.5832163062430892,0.4815658207723377,0.5267669595461363,0.3898762170733614,0.46626568254912143,0.4703851069578899,0.5346111713674612,0.4979041501948371,0.5985057605048634,0.30681293853693337,SALAMI_1454
268,0.5157916821534496,0.4102662424565435,0.694399678058023,0.4441063661797657,0.45167554548836625,0.38615989226335384,0.5749587291011814,0.6209149935812467,0.543269353964135,0.3617722004803616,0.3549332935894299,0.2995362373969089,SALAMI_1455
269,0.4326341625036738,0.3625983005423391,0.5362014783622183,0.4793257906552133,0.47835598305266236,0.3548774146964607,0.5327163034089352,0.5798801346982742,0.4650835860630986,0.43566233369916446,0.4070845127415482,0.28689483605136074,SALAMI_1456
270,0.7299650433854971,0.5959438356914668,0.9417554835141251,0.3428283829225235,0.4032429826413215,0.2577672126368511,0.36167189116761167,0.44162917345154007,0.38671016951326675,0.3258511739311882,0.37099617717008965,0.19331057525370118,SALAMI_1458
271,0.7052229484814997,0.610123344188564,0.8354430104780194,0.3211172899442966,0.30852629586726354,0.37022234380541064,0.575897221051509,0.5305240486787615,0.5836934276423442,0.22262626873740776,0.21750947186276404,0.27108124575761416,SALAMI_1459
272,0.6064462506511987,0.5296266528581077,0.7093310368687277,0.40687059245379553,0.44602781426735894,0.31557745384457736,0.5804190590565258,0.580658648136205,0.6166274092850915,0.31321699992756713,0.36207705296832826,0.21205024257207505,SALAMI_146
273,0.5548797922816834,0.4702370486173684,0.6766828049800301,0.47478463308703484,0.5111474954073367,0.44231200078490684,0.6378911379975373,0.6971091320583577,0.5341838508680998,0.37810462063794414,0.40350739657931045,0.3774040033585412,SALAMI_1460
274,0.6050272192235776,0.561605024550412,0.6557267178964955,0.2748722729083581,0.23241172395598317,0.34748097021807883,0.7288891226864832,0.7664675371208078,0.6373637107777247,0.16937221936040828,0.13697258232189344,0.23884886297856336,SALAMI_1462
275,0.4566233332837538,0.34087003996720866,0.6914155263087999,0.4047648992970379,0.3350794124358218,0.4665283551225498,0.5688568910237318,0.5845843154345883,0.5319500232456443,0.3141464672756037,0.23484558318945625,0.41543610609262216,SALAMI_1464
276,0.45855210966309706,0.3952451608598878,0.5460067439161985,0.45160423288687335,0.4394828292286887,0.4765816924219983,0.5875316998685186,0.5311714008467419,0.6184361324253355,0.36675435846788584,0.3747884281690399,0.3876614406840252,SALAMI_1467
277,0.41664547748608227,0.3485534443055779,0.5178010609358052,0.4211337844060717,0.40347287213580585,0.4694432512119066,0.7209885211837322,0.7327980392435692,0.6262833835381482,0.29743314859696646,0.27837084042704663,0.3754254620021566,SALAMI_1468
278,0.4796557628565394,0.4412022810800219,0.5254521356027835,0.4074225445720337,0.40185137611654376,0.4574970574036007,0.6027058424931901,0.5382533293058769,0.6275903453996011,0.307718408109545,0.3206049766347357,0.3599431206241546,SALAMI_1472
279,0.43522290738222286,0.4177523260093872,0.45421852064869134,0.4212083966490785,0.497983868240515,0.2687894375039409,0.641983432742701,0.6527269552249031,0.6155105715700162,0.31342353874027834,0.40255053076445935,0.17193648820859264,SALAMI_1475
280,0.4776781263123541,0.49064326868010555,0.4653805459349448,0.2594199453711408,0.3036469104989749,0.2933320867135516,0.7146947833796163,0.6318830593090324,0.7328696413013256,0.15847085109902878,0.19983907949483434,0.1833613627805341,SALAMI_148
281,0.545360728953142,0.50006260923079,0.599682946632652,0.39016216384134594,0.39389967847068663,0.30202508045260595,0.5388176118949864,0.6033015365688819,0.5124957096323313,0.30579561239604663,0.2924071473488834,0.21409925970780053,SALAMI_1482
282,0.30343454972527045,0.22357185772984883,0.47206053723020935,0.4335043724861851,0.470332791534073,0.3171491582893401,0.4781313565792473,0.5525270697822312,0.46405553130484806,0.3964968467710843,0.4094262780592282,0.2408903404813182,SALAMI_1483
283,0.4285889675688356,0.36659641257763914,0.5158148003312821,0.43895841393496027,0.45155350924632615,0.3814516158238683,0.5817127147820664,0.6150408944770442,0.5568497453154486,0.3524628245839127,0.35672933337162577,0.290081053738346,SALAMI_1484
284,0.3265016202430329,0.2820299628313038,0.3876237442377186,0.47556851185706905,0.4641894958698337,0.4631444096398026,0.6284031081694688,0.6540937791917525,0.5425061832100236,0.38253239607362927,0.3597442637609086,0.40403867607145194,SALAMI_1488
285,0.7410819424047147,0.6363541819339258,0.8870713985716702,0.20215841850576363,0.21770215073046592,0.12211242932588773,0.5989140264440825,0.6514842910023063,0.5712569080366717,0.12160209393345224,0.13068637085899837,0.06836287143033634,SALAMI_1491
286,0.39470433186231685,0.35373807059488577,0.4464019602938162,0.42021560585516615,0.45628271499357254,0.4065225661471697,0.7068820742336339,0.6888513473570701,0.6664833136628362,0.2989716821598858,0.3411158537004845,0.29245209540210076,SALAMI_1494
287,0.3833010506955949,0.3519381867927408,0.42080056431510127,0.390569454329933,0.38111435119495213,0.39227429497253574,0.6266434362979534,0.5731436887375757,0.6118076980038245,0.28369403444555313,0.28546913909993804,0.28868587526154754,SALAMI_1495
288,0.33119755379947596,0.31140744768857337,0.35367370250141195,0.31725787778064374,0.3485362859409814,0.22270663922656783,0.3515610256587718,0.32692978579294407,0.4036233892376501,0.28905379809826365,0.37320079620875835,0.1537783335903717,SALAMI_1496
289,0.5227314741181808,0.44711638190087494,0.6291278439773581,0.4851253179059166,0.5028279544665009,0.42205493729384097,0.6607248141355182,0.7016189841494441,0.6087609995807027,0.3832655962922841,0.39181443253073633,0.3229933680745479,SALAMI_152
290,0.44942519622243804,0.3729203571840489,0.565421829974582,0.4193057030103619,0.423531096905461,0.3738919024488793,0.49711376695196935,0.4747352587106259,0.4982808578489366,0.36255822327002457,0.3822971563231063,0.29920059384748016,SALAMI_154
291,0.4300041513341496,0.3631143030543938,0.5271025237973168,0.3010447802959695,0.3777081760871836,0.27146480544610113,0.5771049497840378,0.5690707805916702,0.6395921315687008,0.20363518021420862,0.28265814049525206,0.17229671634894875,SALAMI_155
292,0.40728254818841453,0.34403769568051407,0.49901752404527217,0.418373093921183,0.3998387359592635,0.3357538447195177,0.6750361659100609,0.7060544513366527,0.6099181262337138,0.30312031796587013,0.27888594233421504,0.2316326555674274,SALAMI_156
293,0.34708907891869006,0.2899472317053029,0.4322817438576566,0.352503117630132,0.4218038487105035,0.2090311972350883,0.6225791370197602,0.6232913276200959,0.5905089869612462,0.24585203501618894,0.31876022853234215,0.12699226314915774,SALAMI_158
294,0.4277080570135055,0.38445835932897665,0.4819219332788953,0.399829006561775,0.4038643807863408,0.2878332837336388,0.631254771222986,0.6111822016439544,0.6320504293057941,0.2925694478626181,0.30156959636991976,0.18634763176999575,SALAMI_159
295,0.42109778746851434,0.3343916765569322,0.5685094921826535,0.2897110894210835,0.3031503420791225,0.16606092296605365,0.588601974158138,0.5964484883825109,0.5792444994151213,0.19214184932263495,0.20321915951900732,0.09692377567223126,SALAMI_16
