,l_measure,l_precision,l_recall,track_id
99,0.4773207913415726,0.39295064365997046,0.6078268543683517,SALAMI_1372
100,0.40206945300572505,0.326664357306364,0.522734002394982,SALAMI_1374
101,0.5938853328330689,0.5302202611385586,0.6749255894813551,SALAMI_1379
102,0.5091202258553871,0.42641226418707107,0.631633373977279,SALAMI_1380
103,0.10332011059434329,0.056562258176715424,0.5960604766757337,SALAMI_1390
104,0.61902677486267,0.4849945993552067,0.8554324402401314,SALAMI_1394
105,0.3950432089403211,0.3499342562876748,0.45350287483857754,SALAMI_1399
106,0.7459495589625019,0.6489159758571993,0.8771046011826871,SALAMI_14
107,0.6656399015406004,0.5970751893231532,0.7519946859140669,SALAMI_140
108,0.4744851968291794,0.41152111812970615,0.5601972034600694,SALAMI_1400
109,0.5351208622592648,0.4035829887409916,0.7938597859088311,SALAMI_1408
110,0.385030396915968,0.30255056648317674,0.529335098299929,SALAMI_1414
111,0.4996956993797297,0.41478879257822493,0.628310267216487,SALAMI_1415
112,0.4483736294066046,0.38442850908392817,0.5378363182303288,SALAMI_1422
113,0.5349507954176119,0.5062344759956764,0.5671209185946106,SALAMI_1427
114,0.37992667300066907,0.29926225693311764,0.5201227659937999,SALAMI_1428
115,0.426820970752393,0.35966417592648453,0.5248148341973558,SALAMI_1435
116,0.3820892675090396,0.3193699568928006,0.4754627921804217,SALAMI_1436
117,0.5055423468185072,0.4200738419385818,0.6346734267823997,SALAMI_1438
118,0.8233730998148241,0.771216769717017,0.8830956444319888,SALAMI_1442
119,0.4773512723824413,0.38170458325454565,0.6369590639931652,SALAMI_1446
120,0.6449397393267183,0.5526667916946841,0.7741997013357107,SALAMI_1454
121,0.1904229330690664,0.21878092315867465,0.16857282626948805,SALAMI_1455
122,0.4138591341973626,0.3569993159997289,0.49226252762680206,SALAMI_1456
123,0.7501284063904201,0.6370599905244638,0.9119932811489398,SALAMI_1458
124,0.0,0.0,0.0,SALAMI_146
125,0.5893017562016466,0.5022421251612238,0.7128724611154745,SALAMI_1460
126,0.5121610588394965,0.4406928098202098,0.6112965389162355,SALAMI_1464
127,0.3326452293585353,0.2847782563678895,0.3998548615136142,SALAMI_1475
128,0.5276813540552002,0.45329156960918937,0.6312810300700288,SALAMI_1482
